"Country Name";"Country Code";"Indicator Name";"Indicator Code";Attribute;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;"Common Reference Period";
"Norway";"142";"Consumer Price Index; All items";"PCPI_IX";"Value";"75.45";"77.7166666666667";"78.7166666666667";"80.675";"81.0416666666667";"82.2833333333333";"84.2";"84.8";"87.9833333333333";"89.9166666666667";"92.0916666666667";"93.275";"93.925";"95.9166666666667";"97.875";"100";"103.55";"105.491666666667";"108.408333333333";"110.758333333333";"112.183333333333";"2015A";
"Norway";"142";"Consumer Price Index; All items";"PCPI_IX";"Reference Period";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";"2015A";
"Tanzania; United Rep. of";"738";"Consumer Price Index; All items";"PCPI_IX";"Value";;;;;;;;;;;"61.9426282981116";"69.8037483442886";"80.9731116281185";"87.3462814717239";"92.7020185830615";"97.8866666666667";"102.9475";"108.422925638699";"112.228755742593";"116.097844735102";;"2015M12";
"Tanzania; United Rep. of";"738";"Consumer Price Index; All items";"PCPI_IX";"Reference Period";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";;
"Liberia";"668";"Consumer Price Index; All items";"PCPI_IX";"Value";;;;;;;"26.5268307764297";"29.5487399311474";"34.716651626057";"37.2952805909288";"40.0140796818075";"43.410541796183";"46.3762575620843";"49.8903288879976";"54.8100705237475";"59.0571367462713";"64.2743910717118";"72.2570341641881";"89.2833311724222";;;"2018M12";
"Liberia";"668";"Consumer Price Index; All items";"PCPI_IX";"Reference Period";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";"2018M12";;;
"Brazil";"223";"Consumer Price Index; All items";"PCPI_IX";"Value";"1636.09833333333";"1748.01333333333";"1895.72333333333";"2174.6775";"2318.145";"2477.39083333333";"2581.03416666667";"2675.01666666667";"2826.92";"2965.10083333333";"3114.50416666667";"3321.19666666667";"3500.6575";"3717.84916666667";"3953.15333333333";"4310.11916666667";"4686.78666666667";"4848.31083333333";"5025.99416666667";"5213.61333333333";"5381.0625";"1993M12";
"Brazil";"223";"Consumer Price Index; All items";"PCPI_IX";"Reference Period";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";"1993M12";
"Switzerland";"146";"Consumer Price Index; All items";"PCPI_IX";"Value";"94.035275";"94.9653";"95.57565";"96.1857083333333";"96.9579666666667";"98.0942666666667";"99.1336";"99.8595916666667";"102.282233333333";"101.7908";"102.491358333333";"102.728458333333";"102.017016666667";"101.795325";"101.781858333333";"100.617575";"100.180283333333";"100.715041666667";"101.65805";"102.026983333333";"101.286375";"2015M12";
"Switzerland";"146";"Consumer Price Index; All items";"PCPI_IX";"Reference Period";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";"2015M12";
"Russian Federation";"922";"Consumer Price Index; All items";"PCPI_IX";"Value";"30.7595541666667";"37.3657858333333";"43.2653691666667";"49.1768433333333";"54.5315208333333";"61.44901";"67.3903025";"73.4603483333333";"83.8261675";"93.5896775";"100.000001666667";"108.440466666667";"113.943541666667";"121.638958333333";"131.155275";"151.529466666667";"162.20085";"168.175241666667";"173.015825";"180.750266666667";"186.862625";"2010A";
