Country;ExchangeName;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Slovak Republic;Bratislava SE;436.18;543.5;926.73;1294.84;2409.06;2457.95;5831.44;6910.82;5381.08;5091.82;4166.89;5430.82;5397.3;5615.57;5376.96;0;0;0;0;0;0
Cote d'Ivoire;BRVM;436.33;984.23;1306.73;1650.11;2082.66;2332.41;4155.26;8305.17;7087.79;6124.33;7158.12;6287.6;0;11818.85;11710.4;12493.03;12476.13;12485.7;8453.31;8100.13;7331.39
India;BSE India Limited;0;0;0;274172.06;387851.16;553073.74;818878.58;1819100.51;647204.77;1306824.67;1631829.54;1007182.9;1263335.5;1138834.02;1558299.69;1516216.71;1561269.65;2331566.7;2083482.76;0;0
Romania;Bucharest Stock Exchange;363.79;1103.1;0.24;0.33;1.1;15857.84;25234.97;30642.04;15149.44;13072.97;14200.97;14023.92;0;24574.28;22386.84;18539.11;18072.69;23621.18;20853.79;26110.3;25513.18
Hungary;Budapest Stock Exchange;0;0;12988.88;16662.91;28597.85;32575.67;41934.49;46195.63;18465.41;30036.63;27708.41;18772.97;20760.18;19797.41;14513.28;17686.95;22869.59;31553.87;28934.57;32886.53;27970.83
Bulgaria;Bulgarian SE;129.09;82.2;721.64;1755.12;2805.72;5089.88;10270.97;21592.02;8880.42;8653.17;7376.36;8253.25;0;0;0;0;0;0;15652.46;16000.06;17710.5
Malaysia;Bursa Malaysia;113155.79;118980.79;125778.16;160814.2;181623.79;180517.54;235580.9;325290.26;189239.21;289219.39;408689.12;395623.82;466587.57;500387.41;459004.37;382976.65;363149.68;455772.49;398018.7;403957.38;436537.87
Canada;Canadian Securities Exchange;0;0;0;0;0;0;0;0;203.28;617.53;762.11;750.06;1134.89;0;1723.88;1527.52;0;0;0;0;33077.77
Cayman Island;Cayman Island Stock Exchange;220.16;189.09;138.99;2752.11;2476.99;1810.12;158;165;159;169;238;2275.9;2006.31;0;0;315.63;0;0;437.85;379.05;644.32
Bangladesh;Chittagong Stock Exchange;1056.19;978.3;14892.06;0;0;3299.61;3850.31;8732.76;11721.07;20928.93;41616.87;23602.26;0;25972.78;33557;31948.43;34078.25;42147.06;37628.61;31283.7;43834.55
Sri Lanka;Colombo Stock Exchange;1074.14;1331.53;1680.41;2711.07;3657;5719.99;7768.85;7553.17;4285.95;9546.66;19923.86;19436.99;16974.01;18806.55;23665.12;20804.11;18627.32;18959.52;15575.02;15720.54;15981.91
Cyprus;Cyprus Stock Exchange;0;0;0;0;0;0;16158.02;17251.3;7987.93;10268.87;6834.3;2853.32;1995.75;2104.73;4031;2692.4;2514.25;2822.38;3313.49;4284.87;4693.16
Tanzania;Dar Es Salaam Stock Exchange;231.48;398.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3906.18;0
Germany;Deutsche Boerse AG;1270243.17;1071748.73;686013.54;1079026.24;1194516.79;1202136.28;1637609.77;2105197.82;1110579.63;1292355.31;1429719.05;1184500.16;1486314.81;1936106.26;1738539.06;1715800.49;1718032.4;2262222.57;1755172.79;2098173.93;2284108.84
Bangladesh;Dhaka Stock Exchange;1135.99;0;0;0;0;0;0;0;0;0;0;24097.27;0;25185.77;34900.91;33536.43;36393.66;44031.69;39761.9;33132.81;45939.11
United Arab Emirates;Dubai Financial Market;0;0;0;0;0;0;0;5514.35;38543.92;58049.25;54200.95;30370.9;33377.41;70686.09;87858.94;83937.38;92236.03;107574.71;93760.02;102219.81;92658.01
Europe;Euronext;0;1843528.63;1538654.17;2076410.19;2441261.38;2706803.49;3708150.05;4222679.82;2101745.85;2869393.11;2930072.44;2446767.49;2832188.53;3583899.68;3319062.2;3305901.44;3463888.3;4392995.09;3730398.31;4701705.16;5443947.5
Netherlands;Euronext Amsterdam;640456.3;503022.88;401267.71;488647.36;538663.69;592835.61;779690.14;956328.95;388824.02;559304.16;661210.09;594752.69;650811.19;817840.28;786573.52;728485.58;0;0;0;0;0
Belgium;Euronext Brussels;182480.52;165843;127556.56;173552.62;273247.42;288481.06;396167.93;385552.94;167218.34;259768.58;268726.29;229320.85;299517.14;374325.59;378525.79;414556.38;0;0;0;0;0
Ireland;Euronext Dublin;81882.45;75297.84;59937.5;85070.38;114085.43;114086.16;163269.49;143905.26;49489.91;61291.12;60368.31;108393.17;108989.17;170122.68;143465.83;128008.85;119967.6;146554.13;110154.37;0;0
Portugal;Euronext Lisbon;60680.69;46337.81;42845.35;58284.74;70240.38;66973.4;104187.32;132238.54;68876.02;98247.2;81996.7;61689.89;65519.04;79177.9;57774.19;59837.19;0;0;0;0;0
Norway;Euronext Oslo;65774.11;69465.4;64169.76;95919.91;141429.86;191078.56;280851.34;354919.79;145906.34;227233.23;295288.3;220936.39;242764.88;265377.1;219369.67;193895.74;234102.2;287192.2;267382.19;295548.63;0
France;Euronext Paris;1446634.12;1174663;967015.06;1355925.34;1559109.68;1758513.21;2428251.77;2740341.21;1472406.87;1946185.14;1911515.39;1553956.95;1808188.71;2301085.21;2085895.8;2088317.31;0;0;0;0;0
Ghana;Ghana Stock Exchange;0.5;0.28;0.35;0.64;4.8;0.61;0.76;2401.29;2844.38;2427.02;2947.69;3098.51;0;0;0;0;0;0;0;0;0
Vietnam;Hanoi Stock Exchange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6359.67;6857.38;6826.51;9845.03;8308.39;8286.96;9199.3
Vietnam;Hochiminh Stock Exchange;0;0;0;0;0;0;0;0;9480.74;26525.89;30115.45;21574.35;0;40061.27;46067.02;51876.65;67080.28;116657.04;124344.61;141530.32;176809.23
China;Hong Kong Exchanges and Clearing;623397.74;506072.92;463054.92;714597.3;861462.92;1054999.32;1714953.25;2654416.06;1328768.47;2305142.81;2711316.16;2258035.2;2831945.86;3100777.15;3233030.59;3184874.22;3193235.54;4350514.61;3819215.4;4899234.58;6130420.43
Indonesia;Indonesia Stock Exchange;26812.5;22997.86;30066.96;54659.06;73250.64;81428.12;138886.36;211692.97;98760.6;214941.47;360388.1;390106.89;428222.56;346673.81;422127.05;353270.96;433822.38;520686.68;486765.92;523321.86;496086.05
Iran, Islamic Rep.;Iran Fara Bourse Securities Exchange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16508.3;17850.83;26912.22;67995.77;321172.59
Jamaica;Jamaica Stock Exchange;3550.68;4718.5;6037.03;0;0;0;0;0;0;0;3884.35;5008.86;0;3339.11;2936.99;5899.49;6469.03;9404.89;12057.13;15767.45;11701.08
Japan;Japan Exchange Group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4377994.37;4894919.12;5061537.19;6222825.21;5296811.1;6191073.29;6718219.55
Japan;Japan Exchange Group Osaka;0;0;0;1949332.84;2287047.85;2964297.7;183511.51;212178.45;147462.47;138329.76;271831.39;215375.83;202167.77;238335.86;0;0;0;0;0;0;0
Japan;Japan Exchange Group Tokyo;3157221.78;2264527.9;2069299.12;2953098.3;3557674.43;4572901.03;4614068.83;4330921.86;3115803.73;3306082.05;3827774.2;3325387.76;3478831.52;4543169.14;0;4821892.21;0;0;0;0;0
South Africa;Johannesburg Stock Exchange;204300.79;147471.53;181998.39;260748.27;442519.7;549310.31;711232.32;828185.32;482699.98;799023.75;925007.15;789037.13;907723.2;942812.11;933930.7;735945.17;958907.37;1230977.19;865327.65;1056341.44;1051528.63
Pakistan;Karachi Stock Exchange;6624.6;4903.4;0;0;45595.63;45317.28;44906.48;69715.39;23354.04;31886.98;38007.18;32567.93;0;0;0;0;0;0;0;0;0
