"LOCATION";"INDICATOR";"SUBJECT";"MEASURE";"FREQUENCY";"TIME";"Value";"Flag Codes"
"AUS";"M1";"TOT";"IDX2015";"A";"2000";18.76786;
"AUS";"M1";"TOT";"IDX2015";"A";"2001";21.59654;
"AUS";"M1";"TOT";"IDX2015";"A";"2002";28.34892;
"AUS";"M1";"TOT";"IDX2015";"A";"2003";32.18549;
"AUS";"M1";"TOT";"IDX2015";"A";"2004";34.84903;
"AUS";"M1";"TOT";"IDX2015";"A";"2005";38.08964;
"AUS";"M1";"TOT";"IDX2015";"A";"2006";42.13522;
"AUS";"M1";"TOT";"IDX2015";"A";"2007";47.79257;
"AUS";"M1";"TOT";"IDX2015";"A";"2008";51.46949;
"AUS";"M1";"TOT";"IDX2015";"A";"2009";59.50946;
"AUS";"M1";"TOT";"IDX2015";"A";"2010";61.22422;
"AUS";"M1";"TOT";"IDX2015";"A";"2011";64.81643;
"AUS";"M1";"TOT";"IDX2015";"A";"2012";67.81207;
"AUS";"M1";"TOT";"IDX2015";"A";"2013";77.31635;
"AUS";"M1";"TOT";"IDX2015";"A";"2014";87.21124;
"AUS";"M1";"TOT";"IDX2015";"A";"2015";100;
"AUS";"M1";"TOT";"IDX2015";"A";"2016";109.8242;
"AUS";"M1";"TOT";"IDX2015";"A";"2017";120.1572;
"AUS";"M1";"TOT";"IDX2015";"A";"2018";126.9303;
"AUS";"M1";"TOT";"IDX2015";"A";"2019";140.429;
"CAN";"M1";"TOT";"IDX2015";"A";"2000";29.28147;
"CAN";"M1";"TOT";"IDX2015";"A";"2001";32.19206;
"CAN";"M1";"TOT";"IDX2015";"A";"2002";35.36032;
"CAN";"M1";"TOT";"IDX2015";"A";"2003";36.72045;
"CAN";"M1";"TOT";"IDX2015";"A";"2004";39.72519;
"CAN";"M1";"TOT";"IDX2015";"A";"2005";42.2633;
"CAN";"M1";"TOT";"IDX2015";"A";"2006";45.79271;
"CAN";"M1";"TOT";"IDX2015";"A";"2007";49.89303;
"CAN";"M1";"TOT";"IDX2015";"A";"2008";54.16786;
"CAN";"M1";"TOT";"IDX2015";"A";"2009";60.81124;
"CAN";"M1";"TOT";"IDX2015";"A";"2010";67.57454;
"CAN";"M1";"TOT";"IDX2015";"A";"2011";72.78296;
"CAN";"M1";"TOT";"IDX2015";"A";"2012";79.78663;
"CAN";"M1";"TOT";"IDX2015";"A";"2013";86.26994;
"CAN";"M1";"TOT";"IDX2015";"A";"2014";92.77506;
"CAN";"M1";"TOT";"IDX2015";"A";"2015";100;
"CAN";"M1";"TOT";"IDX2015";"A";"2016";108.7236;
"CAN";"M1";"TOT";"IDX2015";"A";"2017";119.0497;
"CAN";"M1";"TOT";"IDX2015";"A";"2018";124.8116;
"CAN";"M1";"TOT";"IDX2015";"A";"2019";131.7898;
"CZE";"M1";"TOT";"IDX2015";"A";"2000";20.24264;
"CZE";"M1";"TOT";"IDX2015";"A";"2001";22.77059;
"CZE";"M1";"TOT";"IDX2015";"A";"2002";26.15493;
"CZE";"M1";"TOT";"IDX2015";"A";"2003";30.58028;
"CZE";"M1";"TOT";"IDX2015";"A";"2004";34.36931;
"CZE";"M1";"TOT";"IDX2015";"A";"2005";37.16971;
"CZE";"M1";"TOT";"IDX2015";"A";"2006";42.87322;
"CZE";"M1";"TOT";"IDX2015";"A";"2007";49.12443;
"CZE";"M1";"TOT";"IDX2015";"A";"2008";54.49995;
"CZE";"M1";"TOT";"IDX2015";"A";"2009";58.73868;
"CZE";"M1";"TOT";"IDX2015";"A";"2010";64.93914;
"CZE";"M1";"TOT";"IDX2015";"A";"2011";70.77641;
"CZE";"M1";"TOT";"IDX2015";"A";"2012";76.29673;
"CZE";"M1";"TOT";"IDX2015";"A";"2013";82.58218;
"CZE";"M1";"TOT";"IDX2015";"A";"2014";89.84076;
"CZE";"M1";"TOT";"IDX2015";"A";"2015";100;
"CZE";"M1";"TOT";"IDX2015";"A";"2016";112.1539;
"CZE";"M1";"TOT";"IDX2015";"A";"2017";125.5799;
"CZE";"M1";"TOT";"IDX2015";"A";"2018";132.361;
"DNK";"M1";"TOT";"IDX2015";"A";"2000";38.01241;
"DNK";"M1";"TOT";"IDX2015";"A";"2001";39.04982;
"DNK";"M1";"TOT";"IDX2015";"A";"2002";41.73394;
"DNK";"M1";"TOT";"IDX2015";"A";"2003";45.07611;
"DNK";"M1";"TOT";"IDX2015";"A";"2004";48.98291;
"DNK";"M1";"TOT";"IDX2015";"A";"2005";57.59829;
"DNK";"M1";"TOT";"IDX2015";"A";"2006";65.30829;
"DNK";"M1";"TOT";"IDX2015";"A";"2007";71.47885;
"DNK";"M1";"TOT";"IDX2015";"A";"2008";75.54026;
"DNK";"M1";"TOT";"IDX2015";"A";"2009";76.29906;
"DNK";"M1";"TOT";"IDX2015";"A";"2010";80.10409;
"DNK";"M1";"TOT";"IDX2015";"A";"2011";77.74493;
"DNK";"M1";"TOT";"IDX2015";"A";"2012";80.743;
"DNK";"M1";"TOT";"IDX2015";"A";"2013";85.55224;
"DNK";"M1";"TOT";"IDX2015";"A";"2014";88.99193;
"DNK";"M1";"TOT";"IDX2015";"A";"2015";100;
"DNK";"M1";"TOT";"IDX2015";"A";"2016";106.2364;
"DNK";"M1";"TOT";"IDX2015";"A";"2017";112.123;
"DNK";"M1";"TOT";"IDX2015";"A";"2018";118.4329;
"DNK";"M1";"TOT";"IDX2015";"A";"2019";124.0356;
"HUN";"M1";"TOT";"IDX2015";"A";"2000";20.53272;
"HUN";"M1";"TOT";"IDX2015";"A";"2001";23.18316;
"HUN";"M1";"TOT";"IDX2015";"A";"2002";27.43054;
"HUN";"M1";"TOT";"IDX2015";"A";"2003";31.98979;
"HUN";"M1";"TOT";"IDX2015";"A";"2004";33.859;
"HUN";"M1";"TOT";"IDX2015";"A";"2005";38.78947;
"HUN";"M1";"TOT";"IDX2015";"A";"2006";47.33622;
"HUN";"M1";"TOT";"IDX2015";"A";"2007";50.32715;
"HUN";"M1";"TOT";"IDX2015";"A";"2008";54.23833;
"HUN";"M1";"TOT";"IDX2015";"A";"2009";52.25383;
"HUN";"M1";"TOT";"IDX2015";"A";"2010";53.99377;
"HUN";"M1";"TOT";"IDX2015";"A";"2011";57.92849;
"HUN";"M1";"TOT";"IDX2015";"A";"2012";60.56378;
"HUN";"M1";"TOT";"IDX2015";"A";"2013";67.8096;
"HUN";"M1";"TOT";"IDX2015";"A";"2014";82.35428;
"HUN";"M1";"TOT";"IDX2015";"A";"2015";100;
"HUN";"M1";"TOT";"IDX2015";"A";"2016";119.6802;
"HUN";"M1";"TOT";"IDX2015";"A";"2017";149.691;
