,inflation,MktCap,M2,M1,M0,GDP,M1V,M2V
1981-12-31,0.08537037078132403,-0.07340232437623939,0.04741820902377025,0.07084939830897596,0.07493835487722933,0.1154686852984117,0.04409192550237839,0.029214665677432916
1982-12-31,0.03754351245740306,0.14235331621084057,0.08619383792943047,0.06390300421376693,0.07022069806532016,0.04175588679443898,-0.021802970196806992,-0.04469569185634881
1983-12-31,0.03717153210834567,0.21650621820478122,0.11466324109960269,0.1046232914328602,0.08567779527740704,0.08323934404111455,-0.022219712818353443,-0.03240670202579199
1984-12-31,0.03963786175903827,-0.12144069069551477,0.07768492709402874,0.06907008844351914,0.07939212721709588,0.10530990949212615,0.03720806344122263,0.028567399352832035
1985-12-31,0.03721359634043431,0.3619295218200982,0.08562829403669348,0.08595955287828527,0.06451755982167917,0.07198548923876125,-0.013296818029682633,-0.013554841007940355
1986-12-31,0.011802225056627869,0.09807154180730393,0.07791442610773913,0.12638750991315373,0.06948684280175321,0.0539793420489616,-0.07173943517558534,-0.023530497410194195
1987-12-31,0.0424091819250938,-0.002435840777767595,0.06294656759044592,0.11001575242555184,0.0771472565413358,0.05843488772890737,-0.05294608614479657,-0.005002511682971833
1988-12-31,0.0431721718652085,0.09351184212235353,0.05168911341862081,0.04062695650403647,0.0821441781343264,0.07558785373061205,0.034510188596623026,0.023507171346816236
1989-12-31,0.045351901252959514,0.1961067231065634,0.0408541867172314,0.009855412968133415,0.05924062006428166,0.07452258330235573,0.06512097272041628,0.03344425095516279
1990-12-31,0.060671195181136284,-0.0892498316059438,0.0542728233201597,0.036251713699635424,0.07622736538788466,0.05543386312221976,0.019733305608861995,0.0018931716269706689
1991-12-31,0.0293706867959882,0.2961312738057593,0.03673838143720154,0.057707715839305784,0.08934643388806407,0.03217509562339593,-0.0256080074788696,-0.004332527762718863
1992-12-31,0.02923559376223661,0.08879564711329024,0.01840843024641181,0.11649551318239659,0.069154573736391,0.057151528157293185,-0.05976429054674082,0.038724817333438466
1993-12-31,0.027721802930272155,0.14422029031181083,0.01025711690648734,0.11030324147547876,0.09426860135561022,0.05057272206501473,-0.05970670798270006,0.04029450912485333
1994-12-31,0.025642430613337375,-0.0218204324609097,0.012618882845911727,0.06061129165085255,0.09849535823181377,0.06062710475663735,-7.857928654053659e-05,0.04809737039119988
1995-12-31,0.02500130220541763,0.3024198610766966,0.019946030263112036,-0.0015866136193789515,0.0726479964156983,0.04724038874074843,0.04933073960549339,0.026646235784075434
1996-12-31,0.03322989449890734,0.19873592868991352,0.047739366377589576,-0.031885367809961984,0.043129598721376894,0.055175459474614996,0.0876718913424428,0.007418603630851561
1997-12-31,0.016828069280650837,0.23900871212621055,0.051735020760380834,-0.03437415627957119,0.0636921476504515,0.06060837496245952,0.09385148127803333,0.00919652417974337
1998-12-31,0.015941477997688303,0.18219840011828126,0.06883163459844965,0.00957672576416968,0.06812373732239863,0.05503135489786892,0.045248862687054636,-0.013942727451761061
1999-12-31,0.026412099539776968,0.13412196517380082,0.07132597557520448,0.01976091466634866,0.09909834303256737,0.06077204758054755,0.04097461821728832,-0.010732720850627708
2000-12-31,0.0337830612436445,0.022109789384739287,0.05837518486648641,0.0018831871873130623,0.06319252788574481,0.06255458733925501,0.0614271961544226,0.004096687417330047
2001-12-31,0.015909426469977284,-0.07731798919141752,0.08305263714457567,0.03281188926598411,0.05081360149843839,0.031631040735128124,-0.0005383435299997075,-0.050672556180850425
2002-12-31,0.024500111867899577,-0.23505868158837373,0.07239659229448314,0.04780419079592857,0.08428175510046643,0.032960696986314986,-0.015903504964893234,-0.03922071315328124
2003-12-31,0.020147700304111282,0.2550664522795181,0.06729428911502566,0.06250706158322927,0.058383034233450815,0.04661127971766987,-0.01599372297184809,-0.02105069014775962
2004-12-31,0.0328767680041091,0.13472194763724588,0.046122512806851645,0.05327453001347493,0.05058129506646658,0.06385112559207151,0.009874642866535943,0.017465998049005504
2005-12-31,0.03284030365290658,0.04064454142283935,0.041707776720359746,0.020991737041389236,0.043520343505282,0.06520287521877144,0.04496620833866016,0.023074045998681014
2006-12-31,0.02492651488183384,0.1406810822574016,0.050663574913562215,0.0022849344342361633,0.041274986152902926,0.057963030941291294,0.05582868768605431,0.007118356626544031
2007-12-31,0.04026644880051222,0.01789341820565582,0.05987694793983245,-0.0004695786895032583,0.02177270196219716,0.045096401397518804,0.04655394902365417,-0.014035318116383366
2008-12-31,-0.00022230473340467682,-0.5416720701253013,0.06554761002093912,0.04222934833614911,0.025580574755657892,0.017897864956506027,-0.0242829577930177,-0.047289523909007314
2009-12-31,0.027752542063598895,0.2630227313857887,0.0775672195130035,0.13299305663318606,0.086193853240081,-0.01810038536221903,-0.15191014796922797,-0.09573366189206822
2010-12-31,0.014275547979703873,0.13656013776517995,0.02441365020911057,0.06109959974938839,0.04148420681799436,0.03689965760960234,-0.02507159031137185,0.012156444927861942
2011-12-31,0.03016121142095951,-0.0998725521720587,0.0697765122123073,0.14194050002316771,0.07925247506954669,0.03606327291252498,-0.1046023104705478,-0.03394123342803279
2012-12-31,0.0174420490055045,0.17695173593256186,0.08319053475335458,0.14385635347517844,0.08350201402094193,0.04124302059879703,-0.1015120460019443,-0.041473248206575164
2013-12-31,0.01501509086701791,0.25267632969271503,0.06538227206979741,0.0956862005496486,0.06968467020860203,0.03565023611242779,-0.06161795761991673,-0.029754261081792577
2014-12-31,0.006509977956253188,0.09122634351244585,0.05973649160999628,0.09872358393766056,0.0695223119719266,0.04328055976191436,-0.05586169351210413,-0.016758368346840302
