DATE,RMFNS
1994-12-01,367.8
1995-01-01,371.7
1995-02-01,372.9
1995-03-01,373.4
1995-04-01,375.9
1995-05-01,376.5
1995-06-01,388.8
1995-07-01,402.1
1995-08-01,415.6
1995-09-01,418.9
1995-10-01,423.1
1995-11-01,429.3
1995-12-01,434.9
1996-01-01,440.9
1996-02-01,449.3
1996-03-01,461.9
1996-04-01,463.6
1996-05-01,457.9
1996-06-01,465.4
1996-07-01,472.7
1996-08-01,478.4
1996-09-01,478.2
1996-10-01,488.7
1996-11-01,500.3
1996-12-01,515.2
1997-01-01,523.4
1997-02-01,531.1
1997-03-01,542.4
1997-04-01,550.7
1997-05-01,536.1
1997-06-01,541.4
1997-07-01,550.9
1997-08-01,569.9
1997-09-01,575.3
1997-10-01,578.1
1997-11-01,587.0
1997-12-01,592.2
1998-01-01,602.3
1998-02-01,618.2
1998-03-01,635.1
1998-04-01,641.9
1998-05-01,635.0
1998-06-01,644.6
1998-07-01,648.2
1998-08-01,667.9
1998-09-01,687.1
1998-10-01,700.3
1998-11-01,712.2
1998-12-01,725.6
1999-01-01,740.6
1999-02-01,758.7
1999-03-01,766.0
1999-04-01,769.6
1999-05-01,756.0
1999-06-01,767.1
1999-07-01,772.7
1999-08-01,787.4
1999-09-01,793.5
1999-10-01,798.6
1999-11-01,804.9
1999-12-01,821.1
2000-01-01,845.8
2000-02-01,860.4
2000-03-01,880.9
2000-04-01,895.0
2000-05-01,869.7
2000-06-01,869.1
2000-07-01,861.0
2000-08-01,877.1
2000-09-01,885.4
2000-10-01,890.2
2000-11-01,893.3
2000-12-01,911.9
2001-01-01,934.8
2001-02-01,943.2
2001-03-01,965.0
2001-04-01,978.3
2001-05-01,936.6
2001-06-01,939.5
2001-07-01,941.6
2001-08-01,941.7
2001-09-01,950.0
2001-10-01,958.8
2001-11-01,960.0
2001-12-01,966.4
2002-01-01,959.5
2002-02-01,956.6
2002-03-01,947.9
2002-04-01,929.7
2002-05-01,904.7
2002-06-01,900.1
2002-07-01,910.6
2002-08-01,912.9
2002-09-01,897.1
2002-10-01,895.5
2002-11-01,894.6
2002-12-01,888.9
2003-01-01,883.4
2003-02-01,882.5
2003-03-01,881.1
2003-04-01,869.2
2003-05-01,851.0
2003-06-01,846.7
2003-07-01,839.9
2003-08-01,841.9
2003-09-01,829.1
2003-10-01,806.7
2003-11-01,795.7
2003-12-01,786.5
2004-01-01,773.8
2004-02-01,765.4
2004-03-01,758.3
2004-04-01,745.9
2004-05-01,739.1
2004-06-01,734.2
2004-07-01,725.1
2004-08-01,724.3
2004-09-01,716.3
2004-10-01,708.6
2004-11-01,706.5
2004-12-01,709.0
2005-01-01,708.9
2005-02-01,706.9
2005-03-01,704.0
2005-04-01,703.0
2005-05-01,694.8
2005-06-01,692.5
2005-07-01,691.6
2005-08-01,694.3
2005-09-01,698.6
2005-10-01,703.3
2005-11-01,708.2
2005-12-01,713.0
2006-01-01,722.4
2006-02-01,724.4
2006-03-01,731.6
2006-04-01,731.9
2006-05-01,728.2
2006-06-01,742.8
2006-07-01,751.8
2006-08-01,765.0
2006-09-01,773.6
2006-10-01,782.1
2006-11-01,793.1
2006-12-01,807.2
2007-01-01,824.6
2007-02-01,830.6
2007-03-01,846.8
2007-04-01,847.9
2007-05-01,843.7
2007-06-01,857.3
2007-07-01,867.8
2007-08-01,894.0
2007-09-01,904.0
2007-10-01,908.4
2007-11-01,927.7
2007-12-01,958.4
2008-01-01,987.6
2008-02-01,1025.6
2008-03-01,1045.4
2008-04-01,1056.0
2008-05-01,1028.9
2008-06-01,1019.8
2008-07-01,1021.0
2008-08-01,1020.1
2008-09-01,1011.8
2008-10-01,1038.6
2008-11-01,1034.2
2008-12-01,1050.5
2009-01-01,1055.3
2009-02-01,1039.3
2009-03-01,1043.0
2009-04-01,1012.0
2009-05-01,976.0
2009-06-01,946.8
2009-07-01,921.3
2009-08-01,897.0
2009-09-01,875.1
2009-10-01,841.3
2009-11-01,821.7
2009-12-01,808.9
2010-01-01,797.3
2010-02-01,788.1
2010-03-01,771.5
2010-04-01,747.9
2010-05-01,737.1
2010-06-01,739.0
2010-07-01,732.1
2010-08-01,723.7
2010-09-01,718.6
2010-10-01,707.8
2010-11-01,702.2
2010-12-01,705.3
2011-01-01,709.4
2011-02-01,702.8
2011-03-01,702.2
2011-04-01,689.2
2011-05-01,679.2
2011-06-01,682.7
2011-07-01,682.8
2011-08-01,700.2
2011-09-01,696.4
2011-10-01,697.0
2011-11-01,691.1
2011-12-01,695.9
2012-01-01,698.2
2012-02-01,685.4
2012-03-01,681.1
2012-04-01,671.3
2012-05-01,658.6
2012-06-01,656.4
2012-07-01,652.0
2012-08-01,652.4
2012-09-01,652.7
2012-10-01,651.3
2012-11-01,655.3
2012-12-01,675.1
2013-01-01,693.9
2013-02-01,675.9
2013-03-01,675.8
2013-04-01,666.1
2013-05-01,651.7
2013-06-01,665.6
2013-07-01,673.6
2013-08-01,672.2
2013-09-01,676.3
2013-10-01,676.0
2013-11-01,665.6
2013-12-01,672.1
2014-01-01,676.2
2014-02-01,671.7
2014-03-01,667.9
2014-04-01,661.3
2014-05-01,653.3
2014-06-01,649.3
2014-07-01,644.5
2014-08-01,651.0
2014-09-01,648.9
2014-10-01,654.0
2014-11-01,647.2
2014-12-01,651.1
2015-01-01,658.7
2015-02-01,649.6
2015-03-01,645.5
2015-04-01,637.0
2015-05-01,624.0
2015-06-01,626.1
2015-07-01,628.7
2015-08-01,634.4
2015-09-01,645.8
2015-10-01,644.7
2015-11-01,646.9
2015-12-01,673.4
2016-01-01,763.4
2016-02-01,768.8
2016-03-01,753.1
2016-04-01,736.1
2016-05-01,724.1
2016-06-01,712.4
2016-07-01,704.3
2016-08-01,688.9
2016-09-01,673.1
2016-10-01,680.3
2016-11-01,701.5
2016-12-01,711.7
2017-01-01,716.5
2017-02-01,709.6
2017-03-01,713.6
2017-04-01,710.8
2017-05-01,701.4
2017-06-01,696.3
2017-07-01,696.4
2017-08-01,703.2
2017-09-01,707.0
2017-10-01,707.9
2017-11-01,709.6
2017-12-01,724.7
2018-01-01,732.1
2018-02-01,737.0
2018-03-01,740.1
2018-04-01,741.0
2018-05-01,752.7
2018-06-01,757.5
2018-07-01,763.5
2018-08-01,771.3
2018-09-01,783.2
