DATE,M1
1975-01-01,273.6500000000000000
1975-02-01,274.6250000000000000
1975-03-01,275.9200000000000000
1975-04-01,276.2000000000000000
1975-05-01,278.8000000000000000
1975-06-01,282.1800000000000000
1975-07-01,283.6500000000000000
1975-08-01,283.7500000000000000
1975-09-01,285.6000000000000000
1975-10-01,285.2750000000000000
1975-11-01,286.6250000000000000
1975-12-01,287.0800000000000000
1976-01-01,288.1750000000000000
1976-02-01,290.6000000000000000
1976-03-01,292.4200000000000000
1976-04-01,294.4500000000000000
1976-05-01,295.6800000000000000
1976-06-01,296.1000000000000000
1976-07-01,296.8500000000000000
1976-08-01,298.7600000000000000
1976-09-01,299.3250000000000000
1976-10-01,301.4000000000000000
1976-11-01,303.5200000000000000
1976-12-01,306.0250000000000000
1977-01-01,308.2000000000000000
1977-02-01,311.4000000000000000
1977-03-01,313.7250000000000000
1977-04-01,315.8000000000000000
1977-05-01,317.0200000000000000
1977-06-01,318.5500000000000000
1977-07-01,319.7750000000000000
1977-08-01,321.8800000000000000
1977-09-01,324.1500000000000000
1977-10-01,326.3600000000000000
1977-11-01,328.6250000000000000
1977-12-01,330.4750000000000000
1978-01-01,334.2600000000000000
1978-02-01,335.1250000000000000
1978-03-01,336.6000000000000000
1978-04-01,338.7750000000000000
1978-05-01,344.6800000000000000
1978-06-01,346.4250000000000000
1978-07-01,347.7600000000000000
1978-08-01,349.2750000000000000
1978-09-01,352.1500000000000000
1978-10-01,353.3200000000000000
1978-11-01,355.3500000000000000
1978-12-01,356.9500000000000000
1979-01-01,358.7200000000000000
1979-02-01,359.7750000000000000
1979-03-01,362.0250000000000000
1979-04-01,367.5400000000000000
1979-05-01,369.1500000000000000
1979-06-01,372.9000000000000000
1979-07-01,377.0400000000000000
1979-08-01,378.8250000000000000
1979-09-01,378.8500000000000000
1979-10-01,381.0800000000000000
1979-11-01,381.3750000000000000
1979-12-01,381.7200000000000000
1980-01-01,385.3500000000000000
1980-02-01,390.1250000000000000
1980-03-01,388.5800000000000000
1980-04-01,383.7750000000000000
1980-05-01,384.4000000000000000
1980-06-01,388.8200000000000000
1980-07-01,393.5250000000000000
1980-08-01,398.6500000000000000
1980-09-01,404.3200000000000000
1980-10-01,408.8250000000000000
1980-11-01,410.4250000000000000
1980-12-01,409.0000000000000000
1981-01-01,410.9500000000000000
1981-02-01,414.0750000000000000
1981-03-01,418.2800000000000000
1981-04-01,427.2500000000000000
1981-05-01,425.0000000000000000
1981-06-01,424.9800000000000000
1981-07-01,427.1500000000000000
1981-08-01,426.8000000000000000
1981-09-01,426.9500000000000000
1981-10-01,428.2750000000000000
1981-11-01,430.8400000000000000
1981-12-01,436.3000000000000000
1982-01-01,442.1000000000000000
1982-02-01,442.3500000000000000
1982-03-01,442.5000000000000000
1982-04-01,447.2500000000000000
1982-05-01,446.5800000000000000
1982-06-01,447.6000000000000000
1982-07-01,447.8250000000000000
1982-08-01,450.9400000000000000
1982-09-01,456.4750000000000000
1982-10-01,463.1750000000000000
1982-11-01,470.9200000000000000
1982-12-01,475.1000000000000000
1983-01-01,476.6400000000000000
1983-02-01,484.2750000000000000
1983-03-01,490.2750000000000000
1983-04-01,492.7000000000000000
1983-05-01,499.3400000000000000
1983-06-01,503.7750000000000000
1983-07-01,507.0750000000000000
1983-08-01,510.3000000000000000
1983-09-01,512.6000000000000000
1983-10-01,517.1400000000000000
1983-11-01,518.8500000000000000
1983-12-01,521.2000000000000000
1984-01-01,524.6000000000000000
1984-02-01,527.4000000000000000
1984-03-01,531.0250000000000000
1984-04-01,534.0600000000000000
1984-05-01,536.5250000000000000
1984-06-01,539.8500000000000000
1984-07-01,540.8400000000000000
1984-08-01,540.9250000000000000
1984-09-01,542.6750000000000000
1984-10-01,543.8600000000000000
1984-11-01,547.9750000000000000
1984-12-01,551.0400000000000000
1985-01-01,556.4750000000000000
1985-02-01,563.1000000000000000
1985-03-01,566.0000000000000000
1985-04-01,570.0800000000000000
1985-05-01,574.8500000000000000
1985-06-01,580.3000000000000000
1985-07-01,588.5200000000000000
1985-08-01,595.6750000000000000
1985-09-01,602.6000000000000000
1985-10-01,607.6000000000000000
1985-11-01,611.2500000000000000
1985-12-01,619.2400000000000000
1986-01-01,621.6000000000000000
1986-02-01,624.1250000000000000
1986-03-01,632.8000000000000000
1986-04-01,640.4250000000000000
1986-05-01,651.2250000000000000
1986-06-01,659.8000000000000000
1986-07-01,669.9000000000000000
1986-08-01,676.7750000000000000
1986-09-01,686.9600000000000000
1986-10-01,694.1750000000000000
1986-11-01,702.5750000000000000
1986-12-01,721.8800000000000000
1987-01-01,730.9500000000000000
1987-02-01,730.4250000000000000
1987-03-01,733.3400000000000000
1987-04-01,743.5750000000000000
1987-05-01,745.3000000000000000
1987-06-01,743.9600000000000000
1987-07-01,743.3500000000000000
1987-08-01,744.5200000000000000
1987-09-01,747.1500000000000000
1987-10-01,755.7000000000000000
1987-11-01,753.9600000000000000
1987-12-01,750.1250000000000000
1988-01-01,754.7750000000000000
1988-02-01,758.1600000000000000
1988-03-01,761.3750000000000000
1988-04-01,767.5750000000000000
1988-05-01,771.3200000000000000
1988-06-01,778.3250000000000000
1988-07-01,780.3750000000000000
1988-08-01,783.4600000000000000
1988-09-01,784.0750000000000000
1988-10-01,782.9200000000000000
1988-11-01,784.7000000000000000
1988-12-01,786.7000000000000000
1989-01-01,786.0000000000000000
1989-02-01,783.7000000000000000
1989-03-01,783.9750000000000000
1989-04-01,778.2750000000000000
1989-05-01,776.2200000000000000
1989-06-01,773.5250000000000000
